filename,session_number,session_type,sprint_number,part_number,segment_count,duration_seconds
Web2.П01.Вступ до гнучкої розробки.vtt,1,introduction,,,283,4281.56
Web2.Стендап 1.vtt,2,standup,1.0,,259,934.28
"Web2.П02.Спринт 1, частина 1.vtt",3,sprint,1.0,1.0,361,5084.43
Web2.Стендап 2.vtt,4,standup,2.0,,199,736.1
"Web2.П03.Спринт 1, частина 2.vtt",5,sprint,1.0,2.0,367,4949.62
Web2.Стендап 3.vtt,6,standup,3.0,,120,417.08
"Web2.П04.Спринт 1, частина 3.vtt",7,sprint,1.0,3.0,309,4834.94
Web2.Стендап 4.vtt,8,standup,4.0,,252,773.51
"Web2.П05.Спринт 2, частина 1.vtt",9,sprint,2.0,1.0,255,4244.19
Web2.Стендап 5.vtt,10,standup,5.0,,44,556.42
"Web2.П06.Спринт 2, частина 2.vtt",11,sprint,2.0,2.0,189,4402.98
Web2.Стендап 6.vtt,12,standup,6.0,,78,252.47
"Web2.П07.Спринт 2, частина 3.vtt",13,sprint,2.0,3.0,254,4959.31
Web2.Стендап 7.vtt,14,standup,7.0,,69,267.86
"Web2.П08.Спринт 3, частина 1.vtt",15,sprint,3.0,1.0,197,4142.37
Web2.Стендап 8.vtt,16,standup,8.0,,182,608.79
"Web2.П09.Спринт 3, частина 2.vtt",17,sprint,3.0,2.0,312,4484.95
Web2.Стендап 9.vtt,18,standup,9.0,,250,878.87
"Web2.П10.Спринт 3, частина 3.vtt",19,sprint,3.0,3.0,373,4791.87
